EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,202706,35878,24394,357
Linn,88660,15042,9319,173
Scott,64395,12240,6995,99
Johnson,60214,10018,7276,41
Black Hawk,53601,11455,8019,156
Woodbury,46268,11013,8560,140
Dubuque,45167,9664,7031,101
Story,42684,7141,4938,25
Dallas,39703,6809,4616,60
Pottawattamie,36322,7045,4262,82
Warren,20412,3082,1804,17
Cerro Gordo,18273,3835,2185,52
Webster,17330,3838,2532,42
Clinton,16295,3556,2152,48
Muscatine,16018,3163,1927,73
Des Moines,16008,3110,2006,23
Marshall,15819,3654,2697,51
Jasper,13004,2384,1594,47
Wapello,12407,2740,1854,72
Sioux,12250,3909,2948,29
Buena Vista,12044,3221,2535,14
Lee,11724,2361,1373,21
Marion,11195,2176,1427,25
Plymouth,10446,2981,2124,45
Boone,9814,1518,967,12
Benton,9641,1789,1074,24
Carroll,8921,2077,1485,26
Bremer,8858,2058,1222,14
Pending Investigation,8745,740,68,0
Washington,8700,1537,903,16
Henry,8180,2004,1348,8
Dickinson,8013,1486,951,12
Jones,7773,2411,1519,19
Mahaska,7573,1371,931,29
Winneshiek,7177,1112,645,14
Buchanan,7136,1267,751,10
Crawford,7003,1853,1511,16
Fayette,6756,1132,650,12
Cedar,6754,1187,704,15
Jackson,6695,1548,1051,17
Tama,6481,1590,1172,42
Poweshiek,6372,1056,710,14
Wright,6361,1343,928,8
Hardin,6293,1258,721,12
Clay,6241,1298,749,7
Iowa,6166,1028,626,14
Delaware,6151,1501,1058,22
Mills,6130,1132,689,10
Floyd,5906,1155,611,24
Kossuth,5772,1231,646,9
Hamilton,5653,1212,623,15
Jefferson,5498,790,388,6
Madison,5374,774,479,5
Butler,5210,1098,640,12
Clayton,5204,1199,712,11
Union,5168,892,388,8
O'Brien,5085,1398,959,32
Harrison,4854,1164,810,33
Page,4709,1218,884,5
Cass,4693,875,573,26
Winnebago,4678,986,640,25
Allamakee,4474,929,516,13
Appanoose,4419,843,451,14
Cherokee,4416,1007,550,4
Hancock,4414,943,554,8
Calhoun,4322,1104,691,7
Grundy,4305,902,530,14
Guthrie,4265,808,519,15
Mitchell,4246,866,456,11
Louisa,4187,922,636,22
Sac,4157,923,552,9
Chickasaw,4054,931,740,6
Shelby,3904,820,544,15
Franklin,3830,775,478,21
Humboldt,3651,831,491,6
Emmet,3643,800,509,26
Palo Alto,3472,695,419,5
Lyon,3442,1090,693,10
Clarke,3365,521,398,4
Greene,3216,551,316,2
Howard,3210,597,326,9
Montgomery,3126,543,283,11
Keokuk,3043,676,329,10
Monona,2852,474,303,8
Pocahontas,2785,610,360,4
Adair,2721,484,286,11
Worth,2702,401,221,1
Lucas,2635,363,259,6
Decatur,2466,347,231,1
Ida,2400,573,323,16
Davis,2316,504,288,11
Monroe,2269,474,316,13
Van Buren,2031,406,256,5
Fremont,2020,399,271,3
Taylor,1980,483,327,3
Osceola,1887,561,373,2
Audubon,1870,313,229,3
Ringgold,1779,262,121,2
Wayne,1673,316,230,7
Adams,1159,195,107,2
