County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,232519,45601,39597,449,406,43
Linn,100067,17742,15959,275,252,23
Scott,73922,15418,13572,163,153,10
Johnson,68538,12085,10613,49,45,4
Black Hawk,60073,13701,12307,236,223,13
Woodbury,51826,12973,11823,175,162,13
Dubuque,50065,11351,10217,150,141,9
Story,48173,8658,7800,34,30,4
Dallas,45883,8860,7543,71,60,11
Pottawattamie,41399,8959,7901,112,99,13
Warren,23572,4413,3553,38,36,2
Cerro Gordo,20848,4647,4165,68,57,11
Webster,19220,4684,4264,71,63,8
Clinton,18872,4495,3956,61,55,6
Muscatine,18468,3889,3383,77,70,7
Des Moines,18163,3810,3387,41,37,4
Marshall,17837,4265,3922,61,56,5
Jasper,15308,3212,2737,59,57,2
Wapello,14613,3429,2927,98,96,2
Sioux,13866,4544,4194,57,55,2
Lee,13654,3159,2744,30,25,5
Buena Vista,13338,3923,3580,29,26,3
Marion,13232,3038,2537,52,45,7
Plymouth,11717,3498,3233,68,62,6
Boone,11708,2179,1768,17,15,2
Benton,10768,2093,1913,44,40,4
Washington,10201,2171,1765,32,31,1
Carroll,10033,2542,2266,34,28,6
Bremer,10015,2430,2205,48,44,4
Henry,9564,2639,2403,30,30,0
Dickinson,9022,1852,1649,26,24,2
Mahaska,8956,1921,1572,36,33,3
Jones,8588,2706,2538,49,48,1
Pending Investigation,8492,923,565,0,0,0
Winneshiek,8461,1553,1306,19,17,2
Buchanan,8031,1592,1389,23,21,2
Fayette,7824,1610,1285,22,20,2
Cedar,7748,1527,1313,19,18,1
Crawford,7729,2297,2030,22,19,3
Jackson,7725,1917,1715,31,30,1
Tama,7277,1866,1664,57,55,2
Poweshiek,7268,1325,1143,24,22,2
Clay,7202,1673,1500,20,16,4
Hardin,7149,1544,1402,29,26,3
Wright,7046,1636,1477,24,22,2
Iowa,6981,1246,1097,22,21,1
Delaware,6853,1732,1568,36,32,4
Mills,6849,1362,1234,16,15,1
Kossuth,6683,1724,1508,44,41,3
Floyd,6655,1388,1223,36,28,8
Jefferson,6510,1201,939,24,21,3
Hamilton,6459,1590,1403,29,28,1
Madison,6431,1199,897,9,8,1
Clayton,6001,1513,1306,48,41,7
Butler,5972,1473,1202,24,21,3
O'Brien,5814,1692,1520,54,50,4
Union,5778,1082,982,22,21,1
Harrison,5669,1548,1341,62,58,4
Cass,5406,1128,966,41,39,2
Page,5277,1442,1327,15,14,1
Winnebago,5243,1188,1062,29,24,5
Cherokee,5235,1388,1167,27,23,4
Allamakee,5152,1276,1101,28,24,4
Appanoose,5127,1101,914,38,38,0
Hancock,5094,1298,1113,24,19,5
Grundy,4925,1205,1021,26,21,5
Guthrie,4869,1030,891,24,19,5
Mitchell,4861,1161,968,34,34,0
Louisa,4717,1147,996,30,25,5
Calhoun,4704,1221,1153,9,9,0
Sac,4650,1109,1007,15,15,0
Chickasaw,4584,1109,1002,12,11,1
Shelby,4535,1021,896,26,26,0
Franklin,4428,1017,839,18,17,1
Emmet,4393,1104,945,31,30,1
Humboldt,4135,1054,909,19,16,3
Clarke,4052,792,627,7,7,0
Lyon,3995,1349,1191,32,29,3
Palo Alto,3881,904,784,9,9,0
Howard,3756,831,654,19,15,4
Montgomery,3729,848,682,22,21,1
Greene,3626,691,628,7,7,0
Keokuk,3530,849,758,26,26,0
Lucas,3239,648,490,8,8,0
Monona,3239,640,527,16,15,1
Worth,3167,606,486,3,2,1
Adair,3115,688,549,20,16,4
Pocahontas,3098,776,670,11,11,0
Decatur,2919,482,400,4,4,0
Monroe,2882,809,585,18,16,2
Ida,2777,742,667,30,29,1
Davis,2765,691,606,21,20,1
Fremont,2323,508,448,6,4,2
Van Buren,2314,496,437,12,11,1
Taylor,2216,591,525,9,7,2
Audubon,2181,416,360,8,8,0
Osceola,2125,638,599,9,7,2
Ringgold,2038,433,343,9,8,1
Wayne,1919,414,345,21,17,4
Adams,1357,295,245,3,3,0
