County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,754842,65791,57540,643,564,79
Linn,318003,22730,20810,342,306,36
Scott,235673,21785,20055,249,225,24
Black Hawk,232386,17887,15700,316,292,24
Johnson,229629,15546,14514,85,77,8
Dubuque,206638,14862,13270,213,195,18
Story,171689,11505,10647,48,42,6
Woodbury,157399,16582,15011,230,211,19
Dallas,137907,12652,11174,99,85,14
Pottawattamie,127748,12384,11046,177,153,24
Marshall,88662,5264,4792,76,68,8
Cerro Gordo,84963,6019,5416,97,80,17
Warren,84254,6374,5737,92,82,10
Webster,74065,5527,5045,94,79,15
Clinton,70201,6096,5523,93,79,14
Des Moines,62475,5073,4607,73,61,12
Muscatine,61124,5239,4772,106,97,9
Lee,59653,4112,3768,58,45,13
Jasper,55947,4575,4140,73,67,6
Wapello,51200,4723,4211,122,118,4
Sioux,48745,5358,5096,74,71,3
Poweshiek,48253,1651,1541,36,33,3
Buena Vista,47529,4979,4224,40,36,4
Boone,47069,2879,2653,34,31,3
Marion,45724,3869,3597,77,65,12
Washington,45053,2751,2519,51,47,4
Bremer,43322,3032,2814,62,52,10
Winneshiek,42976,2084,1941,35,30,5
Plymouth,40876,4347,3946,82,74,8
Benton,40757,2785,2527,55,44,11
Carroll,39450,3088,2819,52,43,9
Henry,39370,3111,2906,37,36,1
Fayette,38927,1965,1822,43,38,5
Hardin,38102,2018,1832,44,34,10
Tama,35091,2258,2042,72,68,4
Cedar,34199,2018,1893,23,21,2
Buchanan,34144,2061,1893,34,27,7
Mahaska,33857,2444,2264,51,46,5
Clay,33108,2283,2139,27,22,5
Iowa,31874,1563,1478,24,22,2
Butler,31505,1766,1622,35,31,4
Delaware,31462,2159,2065,43,38,5
Crawford,30139,2936,2647,41,35,6
Dickinson,29365,2692,2452,45,39,6
Jones,28834,3144,2955,57,51,6
Kossuth,28240,2288,2104,66,57,9
Jackson,28193,2390,2213,42,39,3
Floyd,28035,1820,1587,42,32,10
O'Brien,27669,2154,1941,61,56,5
Clayton,27572,1801,1661,57,48,9
Hamilton,24832,2018,1768,51,46,5
Hancock,23620,1605,1464,34,27,7
Jefferson,23110,1465,1309,35,29,6
Allamakee,23083,1593,1473,52,42,10
Page,23037,2012,1925,22,20,2
Madison,22795,1790,1630,19,15,4
Mills,22553,1814,1609,24,21,3
Harrison,22531,1942,1727,73,69,4
Cherokee,22474,1703,1554,38,30,8
Sac,22104,1400,1292,20,19,1
Wright,21959,1940,1824,40,33,7
Cass,21929,1479,1341,55,49,6
Franklin,21881,1353,1208,23,21,2
Grundy,20477,1456,1340,33,27,6
Palo Alto,20179,1197,1108,24,23,1
Guthrie,20171,1320,1203,32,26,6
Calhoun,19938,1451,1376,13,12,1
Appanoose,19505,1470,1243,49,44,5
Mitchell,19461,1378,1232,43,40,3
Winnebago,19318,1563,1410,31,26,5
Monona,19279,898,809,31,29,2
Chickasaw,19001,1324,1234,17,14,3
Louisa,18998,1369,1251,49,42,7
Union,18669,1385,1268,35,27,8
Shelby,18384,1384,1281,37,33,4
Emmet,18250,1442,1314,41,39,2
Howard,18024,1102,1024,22,18,4
Lyon,17747,1609,1551,41,37,4
Keokuk,16831,1041,933,32,31,1
Humboldt,16470,1255,1170,26,23,3
Greene,15895,831,769,11,10,1
Montgomery,15166,1117,1000,38,36,2
Worth,14795,808,752,8,7,1
Pocahontas,14532,902,838,22,22,0
Clarke,14521,1078,986,24,22,2
Audubon,14081,556,520,11,10,1
Ida,13349,1030,876,35,32,3
Adair,12907,996,842,32,22,10
Davis,12130,926,825,25,23,2
Decatur,11128,639,610,9,9,0
Ringgold,10784,585,541,24,18,6
Monroe,10512,1012,929,32,24,8
Lucas,10260,809,759,23,18,5
Osceola,9809,816,775,17,14,3
Taylor,9628,690,656,12,10,2
Van Buren,9330,591,548,18,15,3
Fremont,8078,664,621,10,8,2
Pending Investigation,7963,980,938,0,0,0
Wayne,7886,592,520,23,18,5
Adams,6297,359,342,4,4,0
