ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19169,58656,11859,23001,924
19069,5520,1072,2140,175
19181,22898,5361,8688,471
19013,99364,16198,39197,4478
19145,10288,1943,3863,626
19017,19427,3041,7730,952
19103,124774,20868,50450,2665
19113,158787,32016,60643,6658
19153,302688,71947,111456,6700
19009,3433,438,1450,96
19083,10257,1758,3688,1141
19163,112389,21857,42833,3913
19033,37853,5754,15502,1133
19061,86302,17678,33812,1073
19045,22582,5100,8204,1041
19155,67762,8848,26820,4293
19079,9912,2236,3660,324
19165,8505,1983,3238,38
19197,8393,1382,2776,1480
19027,14298,3869,4831,768
19167,17421,2513,6287,2328
19015,15611,2996,6195,279
19105,8542,1608,3146,605
19049,49092,13895,17231,1464
19037,4880,684,1952,298
19187,24463,5628,8996,829
19185,5098,1073,1846,332
19099,18463,3705,7259,495
19147,5436,756,2283,82
19067,9514,1727,3543,714
19109,9603,1503,3868,374
19063,7854,1767,2860,295
19127,18787,4390,5967,2506
19081,5248,620,2039,552
19139,22188,4223,6921,4098
19193,62668,12086,24143,2745
19091,6035,1887,1908,315
19101,10294,2678,3429,754
19149,13315,2239,4147,2778
19047,10382,1637,3643,1458
19179,17727,2977,7158,435
19171,11831,2198,4395,940
19143,2530,332,1039,120
19055,7364,1212,2794,571
19065,16820,2369,6838,808
19021,12938,1642,4050,3116
19035,7013,1392,2729,170
19125,21022,3415,6973,3676
19041,12984,1890,5547,50
19029,17068,2509,7152,228
19117,5215,1331,1802,306
19039,7727,899,2795,1249
19135,4936,872,1936,199
19095,8956,2164,3165,466
19087,10411,2090,3875,554
19157,11865,3200,4317,138
19031,9541,1725,3816,201
19137,5193,998,1847,499
19073,6381,2080,1995,335
19111,18687,3056,7146,1151
19107,2648,394,1077,100
19057,27374,4200,11375,532
19129,8149,1808,3125,85
19173,3737,506,1602,0
19189,5975,1309,2134,387
19133,3234,400,1372,105
19011,10701,1725,4307,356
19043,10578,1510,4255,568
19141,8443,1192,3510,225
19123,10706,2402,4027,249
19085,5136,1082,1934,187
19175,6841,1635,2576,114
19071,2655,451,1066,71
19097,11928,2001,4909,122
19003,2901,632,1120,0
19023,6375,745,2780,65
19177,2284,395,914,62
19121,9840,2269,3747,78
19077,6413,1369,2440,176
19159,3360,486,1426,0
19025,6644,833,2854,100
19183,10079,2171,3766,380
19151,2811,480,1101,130
19059,11571,2225,4617,115
19131,7427,718,3349,0
19075,7057,1283,2785,200
19115,6551,858,2110,1493
19005,9402,1201,4087,45
19001,3527,563,1356,253
19191,10861,2583,3867,513
19019,9617,1825,3811,190
19053,4505,1152,1632,105
19161,5392,1001,2195,0
19195,2700,394,1155,0
,8398,257,4255,0
19089,3287,652,1279,87
19119,4695,772,1951,25
19051,6595,1092,1965,1577
19093,2967,240,1182,361
19007,7202,1139,2844,373
