RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19069,6252,1011,2495,253
19153,289211,73748,103944,7619
19169,57786,15485,20455,1394
19013,83880,14535,32715,3915
19091,5595,1043,2132,288
19145,9186,1477,3669,371
19017,17686,2670,7103,810
19103,117108,23547,45069,3428
19113,149308,30900,56027,6356
19009,4190,529,1778,105
19105,12654,2294,4826,708
19033,29632,4283,12154,1041
19061,73560,14079,29234,1020
19125,18578,2796,7011,1758
19045,25234,5186,9547,953
19155,48560,7694,19589,1687
19075,8861,1423,3581,279
19079,10020,1758,3870,520
19165,8047,1706,3105,139
19197,8127,1159,3116,731
19027,14547,2979,5405,758
19167,16749,2483,6449,1368
19015,17725,3178,7081,391
19067,9346,1610,3748,240
19049,55877,15498,19428,1535
19121,9250,1932,3569,180
19019,13541,1843,5635,426
19081,6158,790,2531,307
19147,5679,792,2374,138
19191,13665,2924,5090,560
19109,9816,1281,4070,399
19127,23392,5051,8105,2131
19139,25257,4813,8662,3121
19193,54281,11019,20192,2877
19101,9131,1995,3313,510
19123,10255,1872,3921,541
19083,10846,1514,4326,678
19149,14651,2165,5330,1827
19161,6366,942,2597,229
19179,17419,2995,6278,1867
19163,95855,17324,37587,3353
19171,11538,1835,4512,685
19141,8771,1072,3652,393
19047,9450,1458,3426,1142
19055,10427,1790,3999,638
19043,11195,1190,4775,453
19187,22058,4111,8547,853
19021,11992,1584,3928,2553
19093,3826,472,1542,267
19035,7302,1256,2882,282
19025,6783,809,2888,196
19037,7762,1040,3097,530
19185,3379,433,1409,127
19039,5484,621,2138,588
19095,11612,2157,4486,480
19087,10057,1619,4034,368
19157,11649,2642,4373,260
19041,9809,1964,3811,223
19137,6417,869,2562,425
19119,5417,785,2257,117
19031,12458,2210,4886,477
19073,5761,942,2241,338
19111,17482,2890,6871,847
19107,5487,865,2204,214
19129,8221,1407,3309,198
19181,30064,6744,11315,683
19071,3784,644,1497,145
19053,3705,556,1488,169
19057,21948,2967,9207,572
19011,16014,2524,6398,696
19151,3993,682,1574,163
19085,7785,1404,3058,267
19023,10298,1349,4341,266
19175,7108,1377,2810,111
19003,2368,394,972,28
19097,12109,2097,4894,224
19195,4444,678,1825,118
19099,20880,4169,7957,797
19177,3208,586,1250,122
19001,4177,619,1677,208
19131,6814,543,3110,51
19159,3248,415,1404,25
19077,7205,1208,2891,216
19189,6268,1134,2344,444
19173,3769,411,1662,36
19183,13688,2462,5378,473
19029,9415,1191,4001,220
19059,12670,2206,5164,143
19065,13561,1579,5778,427
19115,5816,826,2049,889
19007,7025,866,2934,290
19143,3376,495,1373,136
19005,8570,969,3744,115
19089,5328,890,2061,316
19117,4336,730,1663,280
19051,3976,589,1653,81
19135,4212,594,1697,224
19133,5753,565,2528,131
19063,6005,855,2460,229
,236,57,66,45
