County,Series Initiated,Series Completed
Polk,52750,33864
Linn,25491,15687
Johnson,23401,16991
Scott,19627,7666
Black Hawk,17930,7556
Woodbury,12018,5576
Dubuque,11169,8848
Pottawattamie,10337,8039
Story,10228,5187
Cerro Gordo,6628,3520
Dallas,6617,4039
Des Moines,5067,2539
Clinton,4438,1427
Warren,4092,2148
Webster,3977,2455
Jasper,3505,2230
Marion,3325,1042
Lee,3250,1764
Wapello,3242,1474
Plymouth,3206,391
Marshall,3145,1067
Sioux,3126,1251
Muscatine,3034,1054
Bremer,3012,2790
Boone,2598,1639
Jackson,2573,563
Tama,2506,479
Poweshiek,2359,458
Clay,2276,1985
Dickinson,2254,756
Fayette,2248,589
Kossuth,2217,352
Benton,2205,927
Clayton,2195,518
Washington,2187,476
Mahaska,2090,443
Floyd,2080,355
Carroll,2067,1693
Iowa,2066,432
Buena Vista,2061,680
Page,1992,863
Winneshiek,1944,921
Madison,1936,391
Cedar,1922,712
Buchanan,1892,733
Hamilton,1887,532
Crawford,1767,545
Butler,1765,239
Jones,1704,717
Henry,1696,696
Jefferson,1687,575
Cass,1687,606
Allamakee,1616,435
O'Brien,1486,884
Hardin,1477,827
Sac,1395,254
Cherokee,1367,607
Shelby,1367,618
Union,1348,480
Mills,1340,721
Louisa,1307,153
Harrison,1293,330
Grundy,1255,500
Guthrie,1244,348
Appanoose,1212,424
Delaware,1183,774
Franklin,1179,304
Mitchell,1177,325
Calhoun,1149,556
Hancock,1132,350
Lyon,1072,233
Chickasaw,1063,248
Davis,1061,168
Wright,1045,619
Wayne,1017,397
Emmet,1013,269
Greene,969,309
Lucas,957,198
Winnebago,948,379
Taylor,888,214
Palo Alto,871,533
Monroe,830,362
Montgomery,803,519
Pocahontas,763,150
Humboldt,742,379
Adair,707,163
Decatur,681,238
Monona,675,362
Fremont,672,147
Howard,661,282
Audubon,658,328
Ida,657,256
Clarke,650,259
Worth,625,178
Out of State,607,3219
Ringgold,595,348
Osceola,566,171
Keokuk,551,229
Adams,530,199
Van Buren,521,149
