County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,67265,146609,6982,368061
Linn,27024,78187,6787,188831
Johnson,17846,61560,2880,143702
Story,14742,29278,1398,74213
Scott,14158,55877,3962,131078
Black Hawk,12921,47561,4587,112914
Dallas,11499,25685,1482,63354
Dubuque,10696,44346,1296,100543
Pottawattamie,7992,31117,4293,75488
Woodbury,6398,32571,2998,74121
Warren,5106,10904,529,27146
Cerro Gordo,4666,18104,1201,42111
Marshall,4238,7851,2511,22397
Clinton,3777,10725,1056,26350
Muscatine,3533,8652,4107,25031
Jasper,3478,8978,508,21678
Webster,3295,12490,837,29293
Des Moines,3153,13378,550,30431
Poweshiek,2414,5819,158,14113
Wapello,2279,8500,437,19763
Marion,2279,8855,3700,23740
Bremer,2265,9184,950,21557
Boone,2248,8006,303,18476
Lee,2075,8787,1167,21058
Henry,1833,4933,578,12338
Jones,1752,3957,605,10308
Carroll,1738,7295,783,17175
Tama,1729,5387,940,13360
Mahaska,1728,5142,266,12306
Iowa,1720,3738,477,9672
Jackson,1713,5755,122,13329
Madison,1682,4844,104,11469
Winneshiek,1654,5459,651,13267
Washington,1637,4827,386,11685
Cass,1618,8185,246,18350
Sioux,1612,7591,2349,19158
Page,1590,4867,627,11963
Emmet,1488,3299,297,8464
Hamilton,1473,4976,339,11855
Fayette,1373,8271,809,18722
Floyd,1264,4587,725,11157
Benton,1256,5836,357,13285
Buena Vista,1251,4881,3160,14272
Cedar,1230,4609,201,10627
Mills,1188,4024,85,9326
Dickinson,1126,5968,127,13204
Union,1046,3464,133,7980
Hardin,1036,4664,1172,11539
Jefferson,1035,5509,754,12815
Shelby,1007,4385,45,9865
Buchanan,1004,4843,190,10871
Crawford,953,4588,1458,11600
Harrison,942,2380,187,5891
Guthrie,885,3113,174,7285
Plymouth,813,5702,2787,15029
Kossuth,801,4735,376,10675
Grundy,792,3555,207,8116
Greene,790,3432,349,8013
Clarke,763,3106,1264,8219
Delaware,753,3374,603,8096
Lucas,753,2465,311,6025
Clay,737,6948,66,14663
Winnebago,731,2930,387,6994
Cherokee,730,3621,169,8143
Calhoun,724,3371,116,7594
O'Brien,714,4162,225,9271
Wright,704,3723,1490,9616
Butler,693,3089,103,6979
Clayton,690,5240,584,11770
Sac,644,2615,0,5881
Montgomery,631,2377,505,5909
Allamakee,604,4848,45,10330
Appanoose,597,3473,409,8009
Wayne,516,2417,332,5733
Franklin,515,2806,175,6307
Davis,513,2614,1592,7334
Howard,510,1512,87,3610
Lyon,491,2412,25,5335
Humboldt,471,3329,314,7549
Decatur,467,2327,105,5276
Chickasaw,462,2245,298,5245
Hancock,461,2363,554,5741
Monroe,437,2499,199,5643
Louisa,405,2708,1493,7288
Pocahontas,402,1415,130,3364
Palo Alto,394,2764,85,6043
Mitchell,393,3812,0,8029
Monona,372,1567,105,3598
Ringgold,330,1659,0,3674
Worth,310,1345,0,2997
Adair,305,1762,265,4053
Out of State,257,4254,0,8419
Keokuk,247,1274,100,2896
Taylor,233,1923,0,4100
Adams,232,1445,0,3262
Fremont,219,1341,73,2976
Audubon,215,1706,96,3720
Van Buren,193,1254,69,2770
Osceola,186,1250,125,2811
Ida,151,1371,362,3257
