County,Vaccinations Completed
Polk,315260
Linn,144552
Johnson,103223
Scott,90000
Black Hawk,75596
Dallas,60693
Dubuque,59687
Story,59402
Woodbury,51856
Pottawattamie,47059
Warren,29661
Cerro Gordo,25645
Muscatine,24882
Marshall,24806
Clinton,23509
Jasper,21066
Webster,19626
Des Moines,19139
Marion,17004
Wapello,16701
Boone,16233
Lee,15846
Bremer,14526
Benton,14330
Sioux,14022
Plymouth,12790
Buena Vista,12788
Winneshiek,12186
Washington,11929
Carroll,11918
Jones,11769
Buchanan,11024
Cedar,10732
Poweshiek,10502
Henry,10396
Fayette,10382
Jackson,10055
Tama,9890
Iowa,9883
Dickinson,9554
Mahaska,9377
Hardin,9114
Delaware,9019
Hamilton,8991
Crawford,8647
Madison,8517
Jefferson,8419
Clay,8229
Butler,8148
Floyd,8133
Clayton,7932
Page,7692
Kossuth,7531
Grundy,7255
Cass,7190
Mills,7047
Wright,6990
O'Brien,6708
Allamakee,6485
Harrison,6468
Shelby,6441
Chickasaw,6347
Union,6069
Guthrie,6014
Cherokee,5752
Appanoose,5640
Calhoun,5577
Louisa,5563
Montgomery,5247
Winnebago,5246
Franklin,5244
Hancock,5108
Mitchell,5076
Greene,5031
Sac,4983
Clarke,4936
Humboldt,4629
Emmet,4598
Howard,4543
Keokuk,4535
Monona,4348
Palo Alto,4343
Lyon,4085
Lucas,3777
Worth,3733
Adair,3466
Monroe,3432
Pocahontas,3387
Ida,3296
Davis,3142
Audubon,3088
Decatur,3052
Fremont,2955
Van Buren,2872
Taylor,2754
Wayne,2625
Osceola,2606
Ringgold,2509
Adams,1955
.,70
