County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,69789,107809,6593,293163
Linn,31885,58116,6521,153484
Scott,23204,40381,3910,108803
Johnson,20376,49215,2657,121844
Dubuque,18421,31536,1062,82490
Black Hawk,15778,37617,4393,95695
Dallas,14828,15206,1446,45981
Woodbury,12266,23552,2704,61628
Story,11186,22186,924,56344
Pottawattamie,9914,25241,4287,65640
Cerro Gordo,6169,14779,1133,36819
Webster,5659,8819,829,24127
Warren,5308,8132,471,21740
Clinton,5048,7805,1040,21730
Des Moines,4276,11082,531,26853
Muscatine,4247,6538,3995,21339
Jasper,3894,6868,494,17866
Marion,3642,6561,3684,20428
Marshall,3576,5713,2506,17468
Carroll,3548,4751,768,13830
Fayette,3503,5530,806,15335
Bremer,3435,7234,924,18799
Boone,3312,5783,238,15065
Lee,3264,6796,1151,18190
Wapello,3113,6876,425,17301
Poweshiek,3043,4238,138,11553
Jefferson,2667,3296,754,10016
Sioux,2519,5919,2323,16686
Winneshiek,2511,3709,512,10460
Dickinson,2499,4207,115,11024
Cass,2449,7101,228,16904
Mahaska,2395,3804,249,10250
Madison,2206,3563,78,9411
Plymouth,2193,4099,2779,13173
Hamilton,2192,3567,324,9681
Washington,2191,3564,378,9694
Page,2126,3535,626,9812
Henry,2082,3801,554,10254
Iowa,2078,3105,466,8750
Tama,2058,4293,850,11401
Greene,2052,1881,335,6135
Jackson,2003,4762,122,11636
Humboldt,1992,1739,315,5801
Shelby,1991,3158,38,8351
Mills,1979,2857,85,7782
Kossuth,1957,3350,374,9016
Benton,1947,4004,356,10317
Clay,1945,5405,50,12752
Buchanan,1920,3583,190,9260
Cedar,1888,3579,201,9233
Crawford,1861,3308,1457,9933
Emmet,1770,2829,294,7786
Buena Vista,1765,3812,3117,12585
Hardin,1725,3492,1141,9830
Union,1681,2422,114,6581
Floyd,1663,3475,703,9303
Clayton,1561,4077,506,10212
Jones,1546,2990,605,8170
Wright,1493,2587,1479,8126
Cherokee,1491,2604,170,6863
Appanoose,1393,2574,372,6903
O'Brien,1368,3248,225,8093
Guthrie,1313,2295,176,6067
Winnebago,1306,2052,387,5809
Lucas,1291,1669,306,4916
Grundy,1287,2729,199,6948
Davis,1246,1775,1575,6365
Delaware,1239,2501,450,6684
Franklin,1227,1962,175,5321
Decatur,1177,1601,105,4463
Allamakee,1175,3988,45,9182
Wayne,1167,1750,332,4999
Calhoun,1074,2610,100,6392
Harrison,1064,1933,187,5116
Montgomery,1035,1714,499,4959
Clarke,941,2621,1248,7421
Monroe,932,1847,199,4817
Louisa,906,1997,1489,6370
Sac,891,2175,0,5242
Lyon,866,1805,25,4497
Palo Alto,844,2170,82,5298
Hancock,707,1866,552,4988
Butler,696,2779,65,6320
Adair,647,1274,253,3431
Adams,647,1100,0,2871
Howard,587,1158,87,2986
Ringgold,585,1311,0,3229
Chickasaw,574,1915,298,4698
Mitchell,534,3346,0,7235
Taylor,532,1565,0,3689
Audubon,482,1346,96,3270
Fremont,477,1017,71,2583
Pocahontas,468,1101,130,2799
Worth,450,1092,0,2630
Monona,424,1264,105,3042
Keokuk,416,975,100,2467
Osceola,390,938,120,2387
Van Buren,368,908,62,2245
Ida,328,1092,360,2874
Out of State,259,4255,0,8395
