RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19191,0.49287179230653796,9001,852
19013,0.4515271131161033,54072,5181
19181,0.4420782652625034,21520,1232
19021,0.46681957186544345,6239,2920
19153,0.48178455650286336,223916,12236
19163,0.3984723290332653,63937,4976
19127,0.47146231806751506,16140,2421
19113,0.5059636710100306,106757,7948
19159,0.40988966080915409,1968,38
19075,0.4847122302158273,5476,453
19107,0.3580909623267617,3384,285
19099,0.4403657388732016,14852,1523
19109,0.4190913386889894,5679,529
19147,0.40130542426288548,3353,213
19033,0.47656065959952889,18663,1567
19103,0.5627762339552732,80462,4596
19015,0.49279560875200126,12228,700
19081,0.3879586077140169,3687,437
19049,0.4836441847773747,42931,2267
19193,0.38067250526152449,34857,4393
19003,0.415047196002221,1441,54
19045,0.3916948458937302,16829,1357
19029,0.45878778435649739,5545,344
19167,0.3233682398508105,9652,1619
19051,0.278,2352,150
19011,0.4416065509845974,10457,868
19155,0.38043688174581039,33403,2056
19047,0.40005945303210468,5437,1292
19097,0.4184371624054735,7775,359
19069,0.4100297914597815,3775,354
19189,0.4162642457021441,3747,563
19125,0.39671608576669778,11109,2083
19183,0.43774186205326656,8948,667
19187,0.43443627450980396,14299,1299
19025,0.4669011170872983,4199,315
19019,0.4080283353010626,8058,582
19157,0.4553069606571552,7989,436
19089,0.3913518235422581,3147,437
,,37,6
19137,0.4240193606937582,3687,518
19117,0.353953488372093,2673,371
19139,0.44655915994749675,15315,3737
19171,0.4605434911593687,6984,778
19151,0.4083698443873697,2498,205
19141,0.4022395113793354,5039,493
19079,0.48608948757869088,6524,657
19085,0.37475976937860347,4917,348
19169,0.4923545826168436,45198,2618
19185,0.31641049526471046,1875,163
19179,0.3663244588063714,10551,2259
19023,0.46055821040238245,6246,404
19105,0.4671921086988057,8682,980
19173,0.3644829276262049,2164,67
19145,0.40431588005560339,5619,489
19031,0.46701025393246367,8051,648
19027,0.4868832134887181,8835,983
19087,0.40533226420767767,6587,1501
19043,0.38731551655364979,6240,557
19017,0.46596440826749666,10663,1015
19073,0.4432943294329433,3444,496
19091,0.3884703912952501,3368,345
19059,0.46065592768571098,7698,252
19055,0.4187290576685674,6304,819
19143,0.36471970459885869,1975,198
19129,0.37653054470845195,5419,270
19077,0.4538310412573674,4540,311
19161,0.41528649315914,3706,331
19057,0.3676444170708548,13519,807
19061,0.5078254256969921,47765,1652
19123,0.32568454401448296,6440,756
19119,0.28745214802211829,3219,160
19065,0.4251908396946565,7810,545
19005,0.3772192591510192,4953,210
19165,0.465776148070543,5119,216
19071,0.3599137931034483,2311,194
19195,0.39845549383552367,2770,171
19009,0.4712518195050946,2442,148
19093,0.3769679300291545,2194,392
19133,0.41625072547881605,3377,209
19083,0.4364240769322094,6464,888
19149,0.4010803511141121,8052,2046
19041,0.4114010989010989,6227,362
19007,0.35876388218252056,4056,402
19177,0.3150198750709824,2026,193
19039,0.39893560404470465,3061,687
19121,0.40959725792630677,6384,308
19135,0.36317633320358119,2496,303
19095,0.48226643598615917,7162,643
19101,0.36884394643345178,6060,688
19035,0.4226079216733422,4400,348
19175,0.3914712850257332,4545,247
19067,0.40825981332310448,5909,477
19037,0.4229447749937149,4386,661
19111,0.36274771964227356,10765,1444
19115,0.38187584956955147,3214,1000
19131,0.38258076705082186,3866,184
19063,0.3990008688097307,3368,306
19053,0.30559085133418048,2182,223
19001,0.3938758389261745,2513,304
19197,0.4467441490208566,4723,889
