RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19061,48930,47298,1632
19103,84486,79923,4563
19155,34898,32849,2049
19153,232609,220599,12010
19013,58775,53627,5148
19011,11238,10382,856
19193,38816,34455,4361
19099,16177,14682,1495
19135,2759,2459,300
19049,44602,42375,2227
19113,113600,105736,7864
19169,47382,44793,2589
19181,22484,21275,1209
19017,11563,10562,1001
19047,6651,5361,1290
19045,17975,16642,1333
19101,6617,5935,682
19031,8628,7985,643
19107,3641,3357,284
19161,4003,3680,323
19027,9766,8789,977
19095,7759,7122,637
19183,9503,8847,656
19019,8574,7995,579
19195,2927,2757,170
19033,19999,18462,1537
19081,4094,3664,430
19139,18860,15145,3715
19165,5298,5088,210
19009,2570,2423,147
19191,9739,8892,847
19023,6597,6197,400
19065,8295,7754,541
19127,18179,15801,2378
19147,3539,3328,211
19171,7694,6920,774
19007,4427,4035,392
19097,8059,7704,355
19111,12081,10655,1426
19067,6319,5849,470
19087,8030,6540,1490
19021,9055,6168,2887
19003,1482,1429,53
19015,12819,12125,694
19189,4266,3709,557
19173,2203,2139,64
19093,2569,2181,388
19039,3709,3024,685
19163,67988,63069,4919
19069,4068,3719,349
19149,9984,7958,2026
19197,5551,4669,882
19041,6534,6179,355
19117,3007,2644,363
19179,12629,10434,2195
19123,7140,6386,754
19129,5399,5131,268
19037,5022,4366,656
19105,9613,8634,979
19029,5831,5491,340
19125,13056,10985,2071
19157,8372,7939,433
19035,4726,4382,344
19053,2389,2167,222
19167,11203,9590,1613
19187,15387,14146,1241
19071,2461,2271,190
19043,6751,6202,549
19115,4181,3186,995
19175,4722,4477,245
19121,6585,6282,303
19137,4143,3628,515
19133,3550,3345,205
19005,5138,4930,208
19073,3897,3403,494
19109,6139,5615,524
19063,3650,3346,304
19159,1987,1949,38
19059,7913,7663,250
19141,5465,4982,483
19075,5867,5421,446
19091,3688,3344,344
19151,2681,2478,203
19055,7080,6265,815
19025,4487,4175,312
19083,7299,6417,882
19085,5210,4867,343
19143,2161,1964,197
19051,2482,2337,145
19145,6056,5573,483
19057,14151,13353,798
19131,4037,3856,181
19077,4807,4498,309
19079,7114,6462,652
19177,2209,2022,187
19001,2803,2500,303
19185,2024,1863,161
19119,3373,3214,159
19089,3558,3123,435
,42,36,6
