ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19169,70435,14382,27715,924
19015,17642,2699,7377,279
19083,11051,1393,4261,1143
19103,138118,20977,57191,2758
19131,7749,518,3609,0
19153,351167,70041,136772,6745
19021,14024,1412,4678,3160
19017,21011,2570,8755,952
19033,41121,5128,17426,1139
19061,96581,13328,41128,1109
19087,11653,1899,4565,577
19167,18563,2037,7084,2345
19155,74187,8119,30399,4293
19139,24257,3642,8225,4099
19111,20426,2545,8251,1152
19013,109514,14779,44960,4523
19163,125630,16566,51990,3925
19113,181928,30860,72840,6706
19125,23005,2807,8250,3677
19029,17845,2036,7746,228
19137,5643,744,2191,499
19109,10239,1128,4362,376
19145,11572,1925,4507,627
19181,26165,5479,10280,474
19105,9883,1830,3705,605
19079,11679,1565,4854,325
19045,25814,3902,10408,1045
19173,4069,258,1895,0
19049,59631,13434,22821,1467
19003,3200,291,1390,0
19157,13587,2794,5382,138
19193,69730,8490,29449,2763
19025,7447,819,3259,100
19059,12484,1690,5335,115
19123,11956,1898,4894,249
19063,8224,1627,3109,297
19053,5201,551,2259,105
19075,7920,902,3406,200
19077,6939,1139,2817,176
19027,16624,2169,6823,768
19095,9192,2108,3310,467
19051,7170,645,2478,1578
19175,7565,1324,3126,114
19041,14248,1034,6600,50
19001,3979,370,1698,255
19183,11308,1884,4521,380
19177,2588,336,1092,69
19147,5840,526,2599,82
19069,6286,509,2802,175
19101,12529,1154,5308,754
19091,7437,579,3229,315
19099,20956,3720,8505,495
19117,5762,935,2253,306
19179,19147,2634,8026,436
19129,8920,1525,3651,85
19055,7852,954,3154,599
19187,28790,3632,12093,829
19189,6759,919,2718,387
19141,9098,824,4021,225
19171,12668,2272,4778,940
19149,14403,1405,5103,2778
19161,5872,655,2605,0
19067,10869,1436,4367,713
19023,6795,820,2953,65
19009,3613,322,1599,96
19121,11134,1895,4584,78
19005,10031,803,4606,45
19127,21422,4619,7173,2509
19065,18269,1737,7870,809
19019,10382,1429,4389,190
,8418,257,4255,0
19057,29444,3610,12670,539
19195,2937,357,1292,0
19047,11226,1218,4270,1458
19043,11250,1084,4795,576
19073,7526,1259,2977,335
19115,6964,649,2427,1493
19197,9415,754,3600,1481
19011,11646,1232,5025,357
19035,7964,854,3471,169
19037,5038,625,2060,298
19039,8080,831,3016,1249
19191,12675,1798,5158,514
19081,5561,601,2205,552
19031,10436,1367,4446,201
19007,7813,685,3353,374
19165,9495,1285,4069,38
19151,3294,470,1346,130
19143,2690,264,1153,120
19133,3439,394,1477,105
19097,13103,1853,5573,122
19185,5538,712,2231,332
19071,2859,305,1239,73
19093,3137,211,1281,361
19085,5886,944,2379,187
19135,5414,646,2285,199
19089,3564,507,1491,87
19107,2780,324,1178,100
19159,3575,376,1586,0
19119,5071,646,2202,25
