ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,563615,28472,260033,15489
19059,16529,638,7798,289
19021,19835,1168,7355,3858
19027,22038,763,9923,1257
19049,96699,4578,45328,2822
19181,37116,1604,17266,1145
19013,150731,6334,68895,6409
19033,55979,2583,25568,2120
19169,107535,5091,50001,3239
19195,3578,68,1756,1
19083,14400,437,6269,1351
19189,8885,299,4027,513
19081,6949,145,3031,743
19155,102565,5508,45565,4996
19139,35325,1386,14286,5252
19009,4221,62,2030,101
19005,12031,413,5737,128
19099,30500,1064,14211,1220
19103,194320,7031,91509,4637
19017,27772,1004,12645,1482
19065,22004,660,10192,960
19061,128593,4241,61061,2424
19041,17659,688,8359,313
19063,10507,605,4677,418
19147,7149,226,3362,174
19193,100099,5715,44866,5072
19003,3641,84,1673,20
19173,4686,119,2251,37
19175,10809,508,5021,356
19067,14712,464,6539,1221
19035,10244,370,4748,372
19123,16587,705,7621,589
19183,16158,693,7428,596
19179,27280,1248,12428,1051
19073,9778,283,4449,525
19113,267225,9760,124531,9650
19019,13803,539,6448,377
19101,16892,781,7558,1003
19127,33172,1500,14279,3255
19109,13027,414,6023,529
19187,38602,1800,17564,1435
19037,6160,150,2829,362
19011,16293,529,7638,487
19141,11490,385,5345,413
19045,37902,1857,17125,1712
19131,9451,247,4492,194
19029,21877,602,10282,473
19135,7093,184,3252,373
19159,4461,122,2138,6
19163,179894,8458,81721,6781
19125,30100,1156,12313,4160
19149,18100,600,7235,2995
19015,24253,709,11501,611
19091,8871,310,3984,436
19151,4125,103,1917,179
19055,10767,418,4781,822
19031,13200,304,6314,301
19167,24111,896,10209,2788
19143,3296,50,1521,204
19161,6703,138,3236,70
19069,7572,236,3524,281
19133,4694,132,2174,231
19075,10358,434,4706,511
19171,18183,661,8221,985
19137,7753,446,3338,606
19111,28560,1289,12419,2202
19197,12127,356,4986,1818
19047,14757,599,6261,1608
19077,9455,275,4417,323
19093,3884,130,1610,538
19051,8560,230,3288,1700
19025,8592,154,4093,221
19145,15501,800,6909,855
19057,40380,2226,18651,796
19007,9600,463,4265,516
19157,19633,673,9283,487
19191,18573,778,8379,1071
19023,7975,112,3827,193
19087,17851,733,7494,2084
19053,6247,205,2905,137
19097,17164,510,8185,303
19001,4920,175,2224,344
19079,15033,374,7036,426
19039,10480,380,4351,1387
19095,12372,219,5739,654
19119,6316,152,3019,116
19043,13021,285,6011,669
19085,7322,407,3314,271
19117,7644,235,3440,441
19107,3400,60,1620,100
19165,12356,356,5886,189
19185,6579,199,2930,409
19115,8226,173,3243,1573
19121,14636,358,7005,189
19177,3044,69,1420,131
,10385,239,5210,1
19105,14054,385,6316,993
19129,12716,602,5951,180
19089,4905,254,2220,229
19071,3432,96,1619,98
