County of Vaccine Provider,Number of Doses
Polk,603461
Linn,282053
Johnson,202817
Scott,192532
Black Hawk,161727
Dubuque,134746
Story,114252
Pottawattamie,109584
Woodbury,108927
Dallas,103430
Cerro Gordo,59820
Des Moines,43367
Webster,41239
Clinton,40790
Warren,39105
Muscatine,37997
Marshall,36299
Jasper,32163
Marion,31963
Lee,30740
Bremer,29620
Wapello,29606
Sioux,26181
Boone,25259
Carroll,23432
Fayette,23060
Buena Vista,22779
Cass,22663
Poweshiek,20671
Winneshiek,20211
Plymouth,19322
Henry,19151
Tama,18975
Clay,18816
Jackson,18134
Jefferson,18043
Mahaska,17775
Dickinson,17497
Washington,17435
Benton,17110
Page,16509
Crawford,15936
Hamilton,15665
Floyd,15578
Hardin,15215
Madison,15180
Jones,14819
Buchanan,14775
Mills,13780
Cedar,13677
Kossuth,13559
Clayton,13428
Shelby,12938
Iowa,12928
Wright,12720
Allamakee,12691
O'Brien,12225
Delaware,11634
Union,11585
Clarke,11099
Emmet,10973
Cherokee,10943
Grundy,10859
Out of State,10683
Appanoose,10302
Greene,10250
Mitchell,9958
Guthrie,9830
Winnebago,9447
Humboldt,9287
Davis,8897
Calhoun,8848
Louisa,8582
Montgomery,8347
Butler,8081
Franklin,7995
Lucas,7969
Harrison,7700
Palo Alto,7561
Monroe,7344
Hancock,7270
Sac,6931
Wayne,6848
Lyon,6692
Decatur,6468
Chickasaw,6374
Howard,5372
Adair,5086
Monona,4982
Taylor,4849
Ringgold,4701
Audubon,4375
Pocahontas,4346
Ida,4067
Adams,3785
Worth,3725
Fremont,3537
Keokuk,3510
Osceola,3425
Van Buren,3222
