RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19113,182225,23757,75957,6551
19153,369272,58959,151092,8117
19127,27812,4564,10543,2162
19171,12975,1346,5467,694
19135,4721,327,2082,230
19125,21013,2357,8427,1803
19043,12212,650,5548,467
19013,98151,10019,42049,4045
19049,70894,11418,28962,1592
19169,75929,13357,30389,1781
19193,66681,4442,29438,3360
19155,57671,5871,25050,1703
19015,21167,2577,9073,444
19041,11755,599,5453,250
19033,33733,3366,14631,1109
19103,141435,14905,61432,3675
19167,18653,1552,7853,1396
19181,36842,5475,15307,748
19105,15266,2181,6180,719
19055,11864,998,5093,678
19187,26043,2548,11311,874
19083,12256,976,5286,708
19189,7227,610,3081,453
19163,112952,10302,49602,3451
19019,15061,1201,6711,439
19017,19925,1887,8604,828
19175,8161,862,3585,128
19061,85833,7276,38733,1091
19023,11496,1063,5068,298
19009,4586,298,2089,111
19157,14166,1527,6180,282
19001,4738,322,2088,239
19031,14413,1403,6260,490
19065,14921,1010,6734,443
19131,7304,401,3402,99
19045,29514,3807,12362,985
19183,15920,1723,6853,499
19029,10187,832,4557,239
19035,8420,597,3766,291
19115,6621,560,2584,895
19005,9394,648,4309,130
19057,24905,2141,11077,610
19099,25129,3704,10289,846
19121,10946,1525,4607,210
19195,5034,470,2219,125
19085,9109,970,3934,272
19149,16572,948,6878,1869
19073,6611,538,2856,361
19047,10779,844,4391,1154
19101,11170,970,4842,514
19059,14477,1043,6637,162
19093,4366,245,1902,315
19097,13914,1477,6101,236
19139,29101,3622,11161,3152
19117,4892,502,2048,297
19107,6198,544,2718,220
19007,7762,523,3459,320
19091,6584,349,2972,290
19037,8528,673,3654,548
19123,11670,1341,4883,564
19039,5934,581,2378,596
19021,13504,1133,4898,2575
19087,11875,1449,4982,459
19111,20045,2031,8566,880
19027,17063,1177,7553,780
19109,10917,702,4902,410
19063,6600,586,2891,232
19003,2668,212,1215,29
19071,4268,355,1883,147
19053,4221,272,1885,179
19165,9438,782,4251,150
19177,3887,270,1745,127
19077,8157,810,3566,219
19179,20091,1919,8145,1880
19145,10572,1142,4529,373
19161,7109,506,3180,243
19147,6371,389,2921,142
19197,9147,640,3883,742
19129,9378,1006,4085,203
19081,6991,530,3071,319
19011,18923,1935,8135,715
19191,16433,1808,6990,648
19095,12842,1652,5350,494
19067,10810,1065,4735,273
19025,7800,824,3381,215
19141,9607,647,4282,396
19079,11917,1193,5090,541
19185,3688,299,1627,135
19051,4438,323,2011,94
19173,4105,222,1922,40
19089,5979,621,2512,336
19075,10140,978,4432,298
19119,6028,499,2704,121
19137,7171,567,3083,435
19159,3618,245,1673,26
19069,7079,586,3113,267
19133,6237,454,2825,133
19151,4705,468,2035,167
19143,3766,253,1686,141
,73,7,31,6
