RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,545257,24175,253073,14936
19059,17410,552,8270,318
19161,8572,285,3949,389
19027,20684,557,9511,1105
19013,131132,5168,60105,5754
19017,25348,785,11719,1125
19019,19328,657,8995,681
19103,183387,5533,86266,5322
19195,6495,213,3041,200
19033,44762,1700,20594,1874
19081,8755,284,3983,505
19169,104915,4002,48906,3101
19139,40192,1652,17106,4328
19165,11562,323,5488,263
19009,5578,143,2635,165
19191,21025,597,9749,930
19065,18181,642,8453,633
19061,107062,2870,51127,1938
19147,7672,247,3585,255
19183,20976,768,9720,768
19003,3306,114,1559,74
19173,4896,139,2336,85
19041,14358,508,6717,416
19125,27992,1071,12318,2285
19123,15815,642,7152,869
19157,18503,670,8664,505
19099,35846,1373,16387,1699
19073,8463,317,3798,550
19113,251961,8268,117255,9183
19049,103344,4141,48238,2727
19193,88268,4434,39540,4754
19171,16936,674,7678,906
19109,13345,404,6169,603
19187,34466,1459,15740,1527
19011,24804,851,11492,969
19141,11662,341,5369,583
19045,40909,1594,18862,1591
19067,14085,443,6510,622
19189,9020,279,4070,601
19131,8930,312,4190,238
19029,12747,377,5983,404
19135,5915,190,2681,363
19127,40539,1619,17992,2936
19063,7973,402,3618,335
19159,4385,114,2112,47
19163,154901,6606,71271,5753
19115,8760,383,3628,1121
19149,20670,781,8872,2145
19093,5431,201,2394,442
19015,28868,957,13530,851
19075,12909,481,5931,566
19091,8009,272,3668,401
19151,5929,181,2747,254
19055,15187,499,6897,894
19101,14757,653,6673,758
19005,11492,444,5403,242
19181,51461,2078,23907,1569
19025,9679,265,4509,396
19083,15432,540,6938,1016
19069,9021,345,4131,414
19023,14449,464,6746,493
19133,7674,276,3562,274
19085,11599,587,5314,384
19137,9100,417,4067,549
19111,26943,994,12085,1779
19037,10610,342,4751,766
19197,11698,385,5162,989
19179,27177,1102,11783,2509
19121,14925,527,7002,394
19095,17097,496,7918,765
19143,4549,104,2101,243
19051,5592,202,2601,188
19047,14068,567,6059,1383
19155,82266,3819,38083,2281
19145,13358,578,6114,552
19043,14139,376,6582,599
19057,33314,1569,15368,1009
19007,9637,396,4388,465
19107,7916,260,3664,328
19077,10716,357,4985,389
19129,12871,501,6028,314
19021,18760,1131,7177,3275
19087,17038,693,7300,1745
19053,5263,226,2388,261
19097,17782,509,8425,423
19079,15512,496,7143,730
19035,10237,389,4720,408
19001,5947,225,2690,342
19175,10697,426,4981,309
19167,23593,912,10448,1785
19089,7726,321,3443,519
19119,7161,180,3379,223
19185,4537,187,2075,200
19039,8107,368,3495,749
19105,20439,597,9361,1120
19117,6397,202,2879,437
19031,18863,539,8804,716
19071,5337,191,2472,202
19177,4856,210,2194,258
,71,5,31,4
