County,Number of Doses
Polk,708028
Linn,329916
Johnson,239703
Scott,204826
Black Hawk,170951
Dubuque,139531
Story,135396
Dallas,134974
Woodbury,113009
Pottawattamie,106485
Warren,67053
Cerro Gordo,58151
Marshall,53015
Clinton,52843
Muscatine,51987
Jasper,47647
Webster,44820
Des Moines,44099
Marion,37124
Boone,36828
Lee,35275
Wapello,35126
Bremer,33416
Benton,31944
Sioux,29373
Winneshiek,27948
Plymouth,27144
Washington,27020
Carroll,26736
Jones,26598
Buchanan,25005
Poweshiek,24735
Buena Vista,24705
Cedar,24404
Fayette,23982
Jackson,23129
Henry,22699
Dickinson,22417
Iowa,22112
Tama,22072
Mahaska,20864
Hamilton,20471
Hardin,20319
Delaware,19905
Madison,19236
Jefferson,18976
Clay,18754
Floyd,18638
Butler,18638
Crawford,18246
Clayton,17816
Page,17603
Kossuth,16913
Cass,16803
Grundy,16665
Mills,16263
Wright,15343
O'Brien,15126
Allamakee,15028
Shelby,14988
Chickasaw,14080
Union,14038
Harrison,13909
Guthrie,13901
Cherokee,13343
Appanoose,12855
Calhoun,12852
Mitchell,11901
Montgomery,11874
Winnebago,11700
Franklin,11599
Louisa,11420
Hancock,11381
Sac,11373
Greene,11294
Clarke,10614
Emmet,10433
Humboldt,10376
Keokuk,10370
Palo Alto,10121
Howard,10118
Monona,9825
Lyon,9066
Lucas,8677
Worth,8613
Adair,7912
Monroe,7705
Pocahontas,7634
Davis,7216
Audubon,7196
Ida,7123
Decatur,7042
Fremont,6796
Van Buren,6517
Taylor,6464
Ringgold,6184
Wayne,6108
Osceola,5792
Adams,4480
.,142
