RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19171,11260,1722,4445,654
19161,6213,873,2555,229
19013,80550,14374,31174,3827
19041,9604,2032,3675,223
19049,53324,15076,18368,1524
19187,21730,4150,8364,852
19113,143818,31443,53089,6203
19153,278186,73617,98542,7521
19015,17188,3336,6744,370
19193,53357,11189,19660,2847
19163,92681,18470,35429,3349
19055,9776,1774,3731,539
19125,18103,2905,6716,1764
19123,9922,1850,3767,538
19071,3692,676,1435,145
19191,13123,2960,4802,558
19077,6935,1242,2739,216
19121,8927,1860,3444,178
19195,4308,752,1720,117
19033,28910,4622,11623,1041
19167,16079,2474,6121,1365
19011,15512,2687,6066,693
19109,9290,1666,3614,399
19081,5906,898,2351,307
19155,47091,8243,18584,1681
19019,12716,2299,4998,421
19185,3310,487,1348,127
19045,24398,5117,9164,952
19007,6785,1044,2725,290
19017,17144,2896,6729,791
19027,14095,2900,5219,758
19107,5245,885,2073,214
19047,9087,1616,3166,1141
19169,55360,14827,19581,1376
19057,21590,2954,9035,571
19139,24362,4914,8208,3033
19097,11734,2138,4687,222
19181,28778,6649,10725,674
19053,3677,558,1473,169
19145,8841,1655,3408,371
19183,13257,2430,5180,466
19105,12131,2291,4570,699
19083,10517,1515,4161,678
19029,9283,1139,3961,220
19137,6176,888,2432,425
19103,114012,23551,43527,3410
19175,6889,1454,2662,111
19085,7694,1398,3016,266
19023,10075,1404,4204,264
19099,20159,4349,7508,794
19061,70351,14804,27291,966
19149,14455,2135,5249,1822
19111,16994,3068,6538,847
19021,11729,1661,3758,2554
19095,11335,2132,4361,480
19075,8648,1399,3487,278
19151,3922,711,1524,163
19037,7522,961,3018,526
19127,22049,4292,7825,2107
19131,6644,399,3097,51
19031,12127,2343,4657,471
19189,6066,1155,2233,443
19197,7868,1279,2927,730
19067,9120,1587,3651,231
19089,5035,839,1940,316
19115,5690,800,2000,887
19025,6620,892,2765,196
19159,3144,489,1315,25
19133,5588,594,2431,131
19117,4098,728,1545,280
19157,11372,2574,4269,258
19147,5553,853,2281,138
19065,13212,1658,5565,425
19091,5379,1159,1966,288
19101,8885,1971,3202,510
19179,17004,3128,6007,1861
19141,8467,1237,3418,392
19165,7946,1706,3055,138
19051,3851,647,1562,80
19043,10933,1218,4633,446
19035,7156,1330,2772,282
19093,3722,539,1457,267
19069,6060,1065,2372,253
19129,7862,1575,3045,198
19087,9954,1596,3994,368
19177,3142,570,1225,122
19009,4034,565,1682,105
19039,5298,602,2055,587
19059,12167,2458,4784,143
19073,5582,969,2138,338
19135,4164,604,1668,224
19001,4063,667,1596,208
19079,9868,1739,3804,519
19173,3703,433,1618,36
19143,3213,538,1270,136
19005,8376,947,3658,115
19003,2346,396,960,28
19119,5186,886,2091,117
19063,5937,834,2437,228
,224,57,61,44
