RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,0.5422626443148272,250936,14860
19059,0.49466913895005218,8221,316
19161,0.44254706305935606,3915,387
19027,0.5230349615670716,9453,1094
19013,0.4979196512939312,59596,5745
19017,0.5097757561248105,11650,1126
19019,0.4530814639905549,8917,677
19103,0.6030236866481408,85878,5263
19195,0.4363907329630131,3023,198
19033,0.524829210836278,20421,1858
19081,0.4190968955785513,3955,500
19169,0.5315959100878323,48549,3078
19139,0.49960153759609979,16991,4324
19165,0.500087305744718,5466,262
19009,0.50382096069869,2605,164
19191,0.5316392376569457,9699,929
19065,0.4587786259541985,8385,630
19061,0.5427546731613075,50881,1935
19147,0.4296646410083277,3566,252
19183,0.47493740040974277,9668,764
19003,0.4491948917268184,1545,73
19173,0.3935631432772423,2324,85
19041,0.44343156843156847,6688,414
19125,0.43587044777914776,12210,2284
19123,0.36021724372029875,7093,866
19157,0.4929204496325119,8623,498
19099,0.48395858545112277,16295,1701
19073,0.48526102610261026,3763,550
19113,0.5546169929335791,116589,9146
19049,0.5408922131980782,47847,2701
19193,0.4260428486911655,39180,4748
19171,0.5009493295360152,7536,907
19109,0.45453318031458858,6132,601
19187,0.4772448752228164,15617,1518
19011,0.48157535581984797,11385,965
19141,0.4285610412273686,5321,573
19045,0.43690365935083677,18706,1579
19067,0.452819332566168,6466,617
19189,0.4483291481553023,4043,599
19131,0.414226336671075,4152,233
19029,0.4951698348395139,5954,402
19135,0.39379784611392246,2672,363
19127,0.527115242957657,17822,2930
19063,0.42625977410947,3594,331
19159,0.4374744585206375,2095,46
19163,0.4420358152686145,70742,5705
19115,0.42763932940643409,3605,1114
19149,0.4347618858481948,8801,2145
19093,0.4097667638483965,2368,443
19015,0.5445223755431883,13442,843
19075,0.5276324395029431,5892,562
19091,0.42351956476250265,3646,402
19151,0.45157878833660677,2736,253
19055,0.45305978484510026,6814,893
19101,0.40377152227384535,6637,750
19005,0.40987798641046249,5369,241
19181,0.4909260482648739,23709,1557
19025,0.5041373603640877,4481,393
19083,0.46865724801139738,6883,1012
19069,0.4484607745779543,4107,409
19023,0.49858023408823329,6708,491
19133,0.4424840394660476,3542,270
19085,0.4001708306641042,5240,382
19137,0.4609256831703136,4021,550
19111,0.4091273732061681,12004,1766
19037,0.4580574876393195,4699,767
19197,0.4857506766438465,5122,980
19179,0.4051588549858446,11657,2511
19121,0.4496878442893867,6954,393
19095,0.5328101828966881,7863,760
19143,0.39274924471299096,2097,243
19051,0.30733333333333337,2579,187
19047,0.43888228299643286,6005,1377
19155,0.42857755938458899,37685,2261
19145,0.4393989541272258,6087,551
19043,0.40714570630805177,6546,599
19057,0.41681422742320425,15239,1003
19007,0.38701110574601646,4351,458
19107,0.3867850868631661,3638,325
19077,0.4978014781551127,4934,387
19129,0.41657290356741019,5980,314
19021,0.5275739041794088,7076,3275
19087,0.44908289064849157,7229,1732
19053,0.334561626429479,2373,260
19097,0.45120633777457688,8351,420
19079,0.5303594395180397,7108,727
19035,0.453582554517134,4688,408
19001,0.4208612975391499,2669,341
19175,0.42839637284535578,4936,308
19167,0.3489599770477693,10379,1784
19089,0.43022493994321905,3419,521
19119,0.3054019566142067,3372,218
19185,0.3513429591678311,2068,195
19039,0.4476849387972326,3461,745
19117,0.38325581395348837,2859,437
19031,0.5077575562355721,8747,711
19071,0.3834770114942529,2469,200
19177,0.3424190800681431,2167,245
19105,0.5039891688022823,9310,1113
,,31,4
