county_fips,metric_value
,0.63
19045,0.5579999999999999
19015,0.652
19159,0.528
19079,0.647
19163,0.609
19023,0.599
19147,0.525
19173,0.49200000000000007
19001,0.506
19069,0.5479999999999999
19115,0.529
19011,0.596
19197,0.598
19053,0.419
19141,0.532
19087,0.5479999999999999
19093,0.512
19151,0.546
19195,0.528
19027,0.6559999999999999
19003,0.55
19149,0.545
19143,0.47600000000000006
19061,0.6729999999999999
19113,0.682
19155,0.581
19063,0.508
19127,0.664
19181,0.613
19103,0.735
19025,0.614
19095,0.654
19129,0.561
19107,0.484
19035,0.552
19187,0.583
19077,0.604
19179,0.501
19099,0.5920000000000001
19183,0.6
19031,0.616
19165,0.615
19057,0.521
19193,0.575
19049,0.6940000000000001
19073,0.599
19007,0.478
19033,0.642
19005,0.55
19123,0.45
19167,0.442
19177,0.428
19089,0.5379999999999999
19071,0.526
19065,0.557
19161,0.542
19171,0.645
19153,0.688
19067,0.5539999999999999
19037,0.565
19083,0.561
19097,0.5479999999999999
19101,0.473
19185,0.43799999999999997
19029,0.604
19131,0.51
19019,0.568
19047,0.5589999999999999
19121,0.5579999999999999
19169,0.623
19085,0.535
19133,0.557
19157,0.588
19043,0.501
19139,0.623
19189,0.5379999999999999
19051,0.4
19091,0.514
19145,0.527
19013,0.61
19021,0.68
19105,0.604
19075,0.639
19125,0.542
19191,0.617
19111,0.518
19109,0.545
19117,0.474
19041,0.542
19017,0.616
19039,0.564
19119,0.43799999999999997
19009,0.611
19081,0.506
19137,0.575
19135,0.473
19175,0.52
19055,0.556
19059,0.593
