ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19163,49271,45356,3915
19045,9898,8857,1041
19169,25378,24454,924
19143,1159,1039,120
19013,44456,39976,4480
19153,123915,117213,6702
,4255,4255,0
19039,4108,2859,1249
19113,69387,62682,6705
19011,4769,4413,356
19083,4903,3761,1142
19099,7998,7503,495
19095,3632,3166,466
19147,2459,2377,82
19139,11414,7316,4098
19067,4545,3832,713
19103,54258,51520,2738
19109,4344,3970,374
19121,3947,3869,78
19063,3244,2948,296
19127,9054,6546,2508
19049,19442,17978,1464
19081,2592,2040,552
19005,4215,4170,45
19183,4202,3822,380
19155,31333,27040,4293
19193,27453,24708,2745
19091,2263,1948,315
19145,4554,3928,626
19017,9024,8072,952
19033,17216,16083,1133
19181,9458,8987,471
19105,3803,3198,605
19149,7303,4525,2778
19179,7683,7248,435
19001,1736,1483,253
19041,6022,5972,50
19029,7408,7180,228
19015,6802,6523,279
19111,8544,7393,1151
19171,5431,4491,940
19123,4370,4121,249
19187,10395,9566,829
19061,36446,35370,1076
19057,12168,11635,533
19021,7325,4165,3160
19125,10794,7118,3676
19101,4807,4053,754
19177,983,914,69
19129,3243,3158,85
19161,2401,2401,0
19165,3565,3527,38
19035,3210,3040,170
19159,1487,1487,0
19043,4895,4325,570
19031,4187,3986,201
19075,3012,2812,200
19137,2368,1869,499
19191,4482,3969,513
19197,4756,3276,1480
19019,4116,3926,190
19135,2255,2056,199
19167,8740,6406,2334
19027,5912,5144,768
19071,1210,1139,71
19009,1547,1451,96
19077,2660,2484,176
19047,5244,3786,1458
19141,3876,3651,225
19055,3436,2850,586
19065,7904,7096,808
19053,2067,1962,105
19037,2251,1953,298
19079,4473,4148,325
19115,3751,2258,1493
19117,2175,1869,306
19087,4711,4157,554
19007,3311,2937,374
19119,1976,1951,25
19189,2670,2283,387
19133,1478,1373,105
19175,2798,2684,114
19151,1333,1203,130
19069,2497,2322,175
19003,1241,1241,0
19173,1756,1756,0
19185,2179,1847,332
19025,3048,2948,100
19131,3350,3350,0
19051,3643,2066,1577
19073,2389,2054,335
19093,1544,1183,361
19157,4527,4389,138
19107,1177,1077,100
19097,5257,5135,122
19059,4788,4673,115
19085,2334,2147,187
19023,2857,2792,65
19195,1159,1159,0
19089,1371,1284,87
