ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,495023,29476,227235,11365
19021,16983,657,6380,3473
19027,19976,643,9048,1066
19049,85735,3851,40508,2294
19181,33894,1577,15781,920
19013,135831,5402,62143,5912
19033,50209,2143,23141,1717
19169,98315,5224,45637,2624
19195,3403,71,1667,1
19083,13375,302,5859,1302
19189,8129,267,3679,484
19155,91761,4733,40664,4772
19139,31490,1306,12635,4783
19009,4046,76,1936,101
19005,11210,332,5382,106
19099,27848,908,13035,1063
19103,179504,7401,84231,3997
19017,24989,1047,11385,1179
19065,20707,536,9629,893
19061,118616,3752,56522,2019
19041,16302,500,7812,236
19147,6686,171,3170,145
19193,87663,4303,39552,4671
19003,3505,96,1609,7
19173,4422,95,2142,17
19175,9626,415,4514,274
19067,13330,315,5999,998
19063,9938,581,4438,364
19035,9363,225,4442,245
19123,14991,506,6968,502
19183,14528,620,6695,513
19179,24173,1003,11162,730
19073,9179,312,4150,493
19113,242049,9397,112858,8192
19145,14135,648,6352,753
19171,17314,739,7785,969
19127,28712,1418,12360,2658
19029,20685,516,9769,414
19163,161156,8069,73014,5835
19055,9670,261,4350,747
19161,6544,107,3187,45
19137,6908,285,3017,564
19129,10846,595,5046,142
19085,6945,270,3215,234
19165,11382,267,5475,119
19157,18122,560,8630,400
19105,12932,313,5859,850
19007,8856,286,4007,463
19167,22093,565,9454,2607
19031,12417,279,5952,267
19043,12604,205,5855,644
19117,7111,181,3231,376
19191,16566,786,7415,974
19087,16110,469,6876,1838
19011,15170,391,7163,442
19045,33085,1672,14938,1454
19057,35643,2023,16451,681
19019,12388,311,5887,305
19079,14026,294,6589,401
19131,8736,185,4199,135
19015,22204,885,10421,526
19077,8807,251,4150,238
19149,16659,487,6623,2888
19187,34624,1489,15831,1199
19047,13342,373,5685,1573
19185,6300,196,2816,370
19141,10589,325,4968,319
19121,13762,312,6618,151
19023,7810,94,3769,160
19095,11757,293,5425,592
19091,8283,248,3760,371
19053,5881,164,2753,118
,10368,247,5211,1
19111,25153,982,11072,1787
19071,3310,73,1570,96
19159,4151,95,1999,4
19101,15247,728,6797,928
19037,5824,125,2690,326
19109,12008,480,5509,469
19125,27448,879,11216,3983
19151,3863,81,1817,144
19069,7041,209,3292,236
19081,6603,126,2885,707
19135,6537,183,3025,274
19059,15081,498,7175,226
19143,3097,50,1445,159
19119,5992,103,2904,70
19133,4333,139,2012,186
19075,9413,347,4341,372
19115,7856,154,3102,1519
19051,8081,170,3115,1654
19197,11080,377,4518,1686
19097,15892,375,7643,246
19093,3643,113,1524,485
19039,9530,313,3928,1351
19025,8399,91,4054,169
19001,4681,157,2130,327
19107,3243,53,1546,100
19177,2970,75,1394,105
19089,4319,172,1999,164
