County of Vaccine Provider,Vaccinations Completed
Polk,304764
Linn,145124
Johnson,101876
Scott,97648
Black Hawk,83022
Dubuque,67926
Story,58339
Woodbury,56382
Pottawattamie,55483
Dallas,53082
Cerro Gordo,30505
Des Moines,21690
Muscatine,21532
Clinton,20989
Webster,20938
Warren,19945
Marshall,19823
Marion,17874
Jasper,16689
Lee,16207
Bremer,15508
Wapello,15216
Sioux,14403
Buena Vista,13322
Boone,12871
Carroll,12289
Fayette,11959
Cass,11360
Plymouth,11075
Winneshiek,10605
Henry,10571
Poweshiek,10533
Tama,9824
Clay,9448
Jefferson,9369
Jackson,9235
Mahaska,9086
Washington,8959
Dickinson,8738
Benton,8710
Crawford,8700
Page,8535
Floyd,8415
Hardin,8210
Hamilton,7966
Jones,7871
Madison,7619
Buchanan,7558
Wright,7308
Cedar,7007
Clayton,7005
Kossuth,6947
Mills,6778
Iowa,6778
Shelby,6519
O'Brien,6329
Allamakee,6303
Delaware,6266
Clarke,6185
Union,5976
Grundy,5740
Cherokee,5659
Out of State,5543
Emmet,5530
Appanoose,5328
Greene,5327
Davis,5263
Louisa,5117
Mitchell,5077
Guthrie,5053
Winnebago,4951
Humboldt,4725
Calhoun,4537
Montgomery,4379
Lucas,4134
Franklin,4125
Butler,4113
Hancock,4032
Harrison,3909
Palo Alto,3848
Monroe,3838
Wayne,3545
Sac,3509
Lyon,3387
Chickasaw,3385
Decatur,3211
Howard,2806
Adair,2725
Monona,2632
Taylor,2420
Ringgold,2332
Ida,2282
Pocahontas,2260
Audubon,2238
Worth,1869
Osceola,1829
Keokuk,1821
Adams,1816
Fremont,1810
Van Buren,1689
