RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,476907,26064,219481,11959
19161,7821,163,3668,322
19027,19019,520,8762,975
19013,116597,4523,53469,5136
19017,22894,875,10512,998
19019,17099,559,7981,577
19195,5814,142,2751,169
19033,39781,1474,18386,1532
19081,7904,210,3631,431
19169,96128,4346,44600,2580
19139,35449,1547,15098,3704
19165,10614,250,5076,210
19009,5118,143,2414,147
19191,19276,686,8873,846
19103,170051,6139,79682,4536
19065,16550,558,7726,540
19061,98686,2698,47182,1628
19147,7055,208,3319,210
19183,18947,699,8797,655
19193,76419,3548,34260,4355
19003,2998,96,1426,51
19173,4469,131,2137,62
19041,13077,380,6171,354
19123,13975,505,6358,754
19125,24866,901,10946,2071
19157,16783,563,7897,426
19099,31918,1186,14630,1474
19073,7608,333,3391,493
19113,227007,8494,105338,7840
19095,15381,538,7104,636
19049,90987,4259,42226,2215
19145,12077,507,5545,483
19127,35498,1767,15679,2375
19029,11627,333,5477,340
19045,35950,1555,16535,1328
19055,13630,342,6241,810
19025,8879,229,4168,312
19129,11023,513,5120,268
19137,8050,297,3620,514
19175,9569,386,4470,243
19155,70899,3544,32656,2048
19005,10405,364,4917,208
19105,18652,481,8602,968
19163,136645,6408,62675,4891
19023,13164,383,6190,400
19021,15783,614,6141,2886
19167,21324,570,9571,1610
19031,17087,518,7964,640
19179,23831,930,10360,2179
19035,9328,234,4375,344
19087,15040,509,6524,1487
19011,22238,693,10347,849
19057,28860,1463,13299,796
19079,13954,438,6433,651
19187,30648,1194,14107,1240
19077,9651,398,4472,309
19149,18484,647,7906,2023
19083,14042,368,6397,881
19067,12560,420,5836,468
19047,12365,382,5348,1288
19015,25842,1110,12019,692
19181,45683,2149,21164,1207
19141,10716,284,4976,482
19121,13317,465,6274,303
19037,9588,255,4340,655
19089,6887,221,3116,434
19069,8065,287,3714,349
19109,12192,479,5595,524
19117,5799,163,2636,363
19111,23603,927,10625,1424
19071,4864,146,2266,186
19177,4340,118,2018,187
19159,4027,95,1947,38
19133,7032,208,3310,204
19085,10471,409,4860,341
19091,7222,209,3335,344
19171,15156,582,6900,774
19189,8211,266,3697,553
19135,5369,169,2450,300
19063,7362,380,3341,300
19115,7607,271,3171,995
19059,16027,493,7642,247
19093,4883,143,2176,388
19075,11654,379,5416,445
19151,5332,176,2476,203
19101,13175,647,5921,682
19043,13209,279,6190,549
19131,8034,204,3828,175
19119,6691,122,3205,159
19007,8730,289,4026,391
19051,4989,187,2328,145
19185,4058,196,1851,161
19143,4221,106,1959,197
19053,4700,149,2164,222
19197,10495,327,4645,878
19039,7009,306,3009,685
19107,7146,201,3332,283
19097,16132,422,7677,355
19001,5462,200,2479,303
,86,6,38,6
