County,Vaccinations Completed
Polk,278453
Linn,129986
Johnson,93513
Scott,79945
Black Hawk,68464
Dubuque,54578
Story,53875
Dallas,53014
Woodbury,46379
Pottawattamie,42203
Warren,26430
Cerro Gordo,23409
Muscatine,22186
Marshall,21743
Clinton,21312
Jasper,18930
Webster,17878
Des Moines,17108
Marion,15267
Wapello,14924
Boone,14903
Lee,14399
Bremer,13283
Benton,12982
Sioux,12733
Plymouth,11530
Buena Vista,11198
Winneshiek,10985
Carroll,10953
Washington,10886
Jones,10811
Buchanan,10105
Cedar,9807
Poweshiek,9479
Fayette,9468
Henry,9378
Jackson,9181
Iowa,8967
Tama,8946
Dickinson,8834
Mahaska,8372
Hardin,8263
Hamilton,8137
Delaware,8112
Crawford,7761
Jefferson,7701
Madison,7674
Butler,7517
Clay,7455
Floyd,7405
Clayton,7399
Kossuth,6945
Page,6881
Grundy,6711
Cass,6579
Mills,6551
Wright,6397
O'Brien,6138
Shelby,5942
Harrison,5927
Allamakee,5873
Chickasaw,5758
Guthrie,5560
Union,5468
Cherokee,5342
Calhoun,5056
Appanoose,5027
Louisa,4967
Montgomery,4786
Winnebago,4779
Franklin,4756
Hancock,4698
Mitchell,4682
Sac,4539
Greene,4518
Clarke,4448
Humboldt,4212
Howard,4152
Keokuk,4148
Emmet,4075
Monona,4008
Palo Alto,3982
Lyon,3714
Lucas,3423
Worth,3396
Adair,3145
Monroe,3129
Pocahontas,3119
Ida,2957
Audubon,2879
Davis,2862
Fremont,2757
Decatur,2744
Van Buren,2568
Taylor,2494
Osceola,2405
Wayne,2381
Ringgold,2240
Adams,1684
.,37
